"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"218",13,"13B","Dasyprocta fuliginosa",2018-07-21 14:41:58,2018-07-21,"14:41:58"
"219",7,"7A","Psophia crepitans",2018-07-21 16:15:44,2018-07-21,"16:15:44"
"220",13,"13A","Mazama gouazoubira",2018-07-21 18:07:05,2018-07-21,"18:07:05"
"221",25,"25A","Atelocynus microtis",2018-07-21 18:58:08,2018-07-21,"18:58:08"
"222",25,"25A","Dicotyles tajacu",2018-07-22 01:53:16,2018-07-22,"1:53:16"
"223",18,"18A","Mazama gouazoubira",2018-07-22 04:14:01,2018-07-22,"4:14:01"
"224",2,"2B","Cuniculus paca",2018-07-22 04:56:32,2018-07-22,"4:56:32"
"225",15,"15B","Tamandua tetradactyla",2018-07-22 05:57:24,2018-07-22,"5:57:24"
"226",25,"25A","Tayassu pecari",2018-07-22 06:20:13,2018-07-22,"6:20:13"
"227",25,"25A","Dicotyles tajacu",2018-07-22 06:35:17,2018-07-22,"6:35:17"
"228",3,"3B","Mazama gouazoubira",2018-07-22 08:42:29,2018-07-22,"8:42:29"
"229",2,"2B","Dasyprocta fuliginosa",2018-07-22 10:13:08,2018-07-22,"10:13:08"
"230",4,"4A","Myrmecophaga tridactyla",2018-07-22 15:32:22,2018-07-22,"15:32:22"
"231",4,"4B","Psophia crepitans",2018-07-22 17:48:07,2018-07-22,"17:48:07"
"232",12,"12B","Cuniculus paca",2018-07-22 21:59:00,2018-07-22,"21:59:00"
"233",2,"2B","Atelocynus microtis",2018-07-23 04:41:22,2018-07-23,"4:41:22"
"234",2,"2B","Tamandua tetradactyla",2018-07-23 05:57:01,2018-07-23,"5:57:01"
"235",2,"2B","Atelocynus microtis",2018-07-23 06:38:49,2018-07-23,"6:38:49"
"236",22,"22A","Dicotyles tajacu",2018-07-23 07:29:59,2018-07-23,"7:29:59"
"237",22,"22A","Dicotyles tajacu",2018-07-23 08:19:35,2018-07-23,"8:19:35"
"238",8,"8B","Mazama gouazoubira",2018-07-23 11:11:36,2018-07-23,"11:11:36"
"239",2,"2A","Panthera onca",2018-07-23 12:30:17,2018-07-23,"12:30:17"
"240",8,"8B","Mazama gouazoubira",2018-07-23 12:53:36,2018-07-23,"12:53:36"
"241",16,"16A","Dasyprocta fuliginosa",2018-07-23 13:03:14,2018-07-23,"13:03:14"
